team,predicted_2026
Alpine,0.10985034236287505
Aston Martin,0.08270579468374857
Ferrari,0.4503925983099849
Haas,0.11831427256345614
McLaren,0.501313493961724
Mercedes,0.7665510401969589
Red Bull,0.5453131081014544
Williams,0.05435571278318483
Alpine,0.11224493682026662
Aston Martin,0.08270579468374857
Ferrari,0.45032418132548796
Haas,0.09149481464067072
McLaren,0.4222918768678027
Mercedes,0.8283315771976609
Red Bull,0.5203409087600854
Williams,0.05435571278318483
Alpine,0.13085435660342382
Aston Martin,0.08270579468374857
Ferrari,0.51497823167506
Haas,0.09190531654765213
McLaren,0.3193243151999659
Mercedes,0.8430412288644946
Red Bull,0.4857903315891501
Williams,0.05914490169796793
Alpine,0.14755179903604604
Aston Martin,0.08270579468374857
Ferrari,0.5290614280702515
Haas,0.08532753619540703
McLaren,0.3972457132188694
Mercedes,0.8430412288644946
Red Bull,0.4189162313413249
Williams,0.027942610283471937
